0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
30.6,55.6,71.9,92.3,119.4,126.8,139.7,154.1,165.1,184.0,194.4,210.0,222.3,233.2,245.6,256.2,260.1,266.9,275.0,279.9,287.5,290.4,295.9,300.0,300.0,300.0,300.0,300.0,300.0,300.0
31.4,56.7,69.6,96.6,115.7,124.9,137.5,152.0,163.8,180.4,192.3,210.2,221.1,224.5,243.1,252.8,262.6,267.0,271.8,279.7,283.2,291.6,295.3,300.0,300.0,300.0,300.0,300.0,300.0,300.0
29.5,54.2,78.1,93.5,114.0,125.4,138.8,151.7,160.8,180.2,196.6,211.9,222.0,231.0,242.6,249.9,256.5,267.1,275.8,281.7,283.6,289.0,295.9,300.0,300.0,300.0,300.0,300.0,300.0,300.0
30.8,55.1,76.1,94.7,112.3,128.5,143.5,149.9,166.0,174.8,196.3,208.6,214.4,230.7,241.2,251.0,256.8,266.9,271.8,276.6,285.7,289.2,295.7,300.0,300.0,300.0,300.0,300.0,300.0,300.0
30.8,51.3,73.2,90.7,113.5,127.6,139.6,150.2,161.4,181.4,197.4,213.1,217.0,231.7,242.0,252.6,257.7,263.6,269.9,280.0,285.1,289.2,295.4,300.0,300.0,300.0,300.0,300.0,300.0,300.0
30.5,53.8,77.1,96.4,114.1,128.1,134.2,148.6,165.0,179.1,190.1,210.1,221.3,234.9,242.6,248.2,261.0,262.8,273.5,279.0,282.8,290.6,295.5,300.0,300.0,300.0,300.0,300.0,300.0,300.0
33.3,50.8,76.2,96.6,113.7,127.9,141.3,149.3,162.5,179.5,184.0,204.8,221.2,228.5,240.5,248.2,253.1,267.3,272.0,277.1,285.1,289.9,295.4,300.0,300.0,300.0,300.0,300.0,300.0,300.0
31.9,50.3,71.3,88.7,113.7,127.5,139.6,149.5,165.2,172.5,191.7,200.8,217.7,231.7,237.8,244.4,257.8,265.1,270.8,279.0,285.6,289.2,295.1,300.0,300.0,300.0,300.0,300.0,300.0,300.0
31.8,46.4,74.6,94.5,118.2,125.1,139.2,155.8,161.7,173.1,193.8,205.3,213.6,226.7,247.2,249.6,253.0,267.9,273.0,280.1,283.9,288.1,295.5,300.0,300.0,300.0,300.0,300.0,300.0,300.0
33.3,49.8,69.5,92.9,116.9,125.9,142.6,151.7,162.7,178.7,186.8,204.5,218.0,229.3,237.6,247.0,258.7,263.7,269.8,277.3,280.9,290.3,295.8,300.0,300.0,300.0,300.0,300.0,300.0,300.0
28.4,50.1,73.4,97.6,118.3,125.9,140.6,148.4,163.7,181.0,195.8,208.6,218.3,227.4,237.7,252.7,254.4,265.1,274.0,279.9,283.5,291.3,293.6,300.0,300.0,300.0,300.0,300.0,300.0,300.0
31.6,47.8,69.5,96.0,109.9,124.5,137.0,151.9,158.6,176.4,191.8,208.3,217.2,232.9,240.9,249.2,256.7,262.9,271.4,276.8,283.2,289.4,294.6,300.0,300.0,300.0,300.0,300.0,300.0,300.0
29.8,51.3,74.5,91.2,112.3,121.6,139.6,148.9,173.7,176.0,187.4,205.9,214.3,226.7,240.5,247.7,256.0,262.7,268.7,280.8,281.6,290.7,294.9,300.0,300.0,300.0,300.0,300.0,300.0,300.0
31.3,49.8,71.1,93.4,117.2,123.7,141.1,147.2,161.2,175.9,190.4,208.4,215.3,227.7,233.2,248.7,254.0,266.4,268.6,278.0,284.7,289.7,294.7,300.0,300.0,300.0,300.0,300.0,300.0,300.0
30.2,47.7,72.2,94.4,111.8,131.2,137.4,150.0,158.1,180.9,189.8,203.6,218.0,230.1,236.0,249.9,256.0,260.3,267.6,279.3,280.4,289.7,294.5,300.0,300.0,300.0,300.0,300.0,300.0,300.0
32.5,55.6,72.8,93.5,108.9,124.7,134.6,146.2,164.9,166.7,189.4,206.6,213.8,228.0,240.2,247.8,255.4,264.5,268.3,277.8,285.0,288.4,294.1,300.0,300.0,300.0,300.0,300.0,300.0,300.0
28.7,49.3,74.0,94.4,116.6,123.0,138.5,153.5,159.4,174.4,189.5,202.2,217.8,232.1,234.8,249.4,255.3,260.3,270.5,276.1,282.7,287.8,294.9,300.0,300.0,300.0,300.0,300.0,300.0,300.0
28.4,51.6,75.1,94.8,111.7,127.7,137.6,146.2,166.0,176.4,190.3,199.5,216.6,229.2,238.4,241.5,256.5,261.7,266.3,275.4,284.0,288.8,293.5,300.0,300.0,300.0,300.0,300.0,300.0,300.0
30.5,49.9,72.8,90.0,108.6,128.2,137.8,144.9,161.8,174.2,191.9,203.1,213.1,226.1,233.7,245.7,252.7,261.8,271.4,277.6,283.2,289.2,295.4,300.0,300.0,300.0,300.0,300.0,300.0,300.0
28.5,51.2,68.8,95.8,113.4,125.4,138.9,149.7,159.7,175.5,189.0,202.3,211.4,229.7,236.7,247.4,253.7,265.2,270.2,275.0,282.5,289.9,294.7,300.0,300.0,300.0,300.0,300.0,300.0,300.0
31.9,51.7,69.5,95.0,111.4,121.3,137.8,150.5,162.6,173.5,183.8,198.0,206.2,224.5,233.4,244.3,253.5,260.1,267.0,272.5,280.9,288.2,296.3,300.0,300.0,300.0,300.0,300.0,300.0,300.0
28.4,49.9,72.0,98.8,116.0,123.2,136.4,147.4,161.4,180.6,190.2,201.4,211.5,228.4,236.5,243.5,254.9,265.0,269.8,273.9,282.1,289.3,293.9,300.0,300.0,300.0,300.0,300.0,300.0,300.0
32.4,51.8,71.9,93.6,111.2,121.7,137.4,151.9,160.9,168.1,189.7,208.6,212.3,225.1,237.6,247.2,250.4,261.4,267.2,273.7,282.3,288.1,293.5,300.0,300.0,300.0,300.0,300.0,300.0,300.0
27.3,48.1,75.0,96.8,114.1,123.9,133.5,143.9,160.6,173.5,184.7,201.6,213.0,223.7,237.9,244.6,254.6,258.6,267.4,276.8,281.9,287.4,294.6,300.0,300.0,300.0,300.0,300.0,300.0,300.0
33.2,50.8,71.5,84.7,114.3,122.5,139.2,153.5,160.9,171.8,183.4,200.9,213.1,226.4,232.4,239.9,250.0,261.6,266.4,278.2,281.3,290.4,294.9,300.0,300.0,300.0,300.0,300.0,300.0,300.0
29.3,50.8,69.2,93.7,113.0,126.1,137.6,152.0,159.4,173.7,190.3,200.2,207.6,222.7,230.2,240.2,248.9,258.4,265.3,278.0,278.5,287.8,294.6,300.0,300.0,300.0,300.0,300.0,300.0,300.0
29.9,53.6,70.4,94.5,110.8,125.3,137.3,145.6,159.2,172.0,186.5,195.0,212.1,224.6,232.5,237.4,250.4,260.7,266.1,272.9,280.0,288.4,293.5,300.0,300.0,300.0,300.0,300.0,300.0,300.0
28.9,51.0,70.6,96.5,112.8,127.2,134.0,146.4,160.6,171.1,185.5,196.7,209.6,223.4,234.3,240.6,248.2,257.5,268.1,273.1,282.0,288.5,294.4,300.0,300.0,300.0,300.0,300.0,300.0,300.0
28.4,52.9,72.1,92.0,107.3,130.4,137.3,146.1,157.3,173.8,186.3,198.4,208.8,219.6,232.7,239.4,251.7,262.4,268.4,274.9,282.1,286.0,293.3,300.0,300.0,300.0,300.0,300.0,300.0,300.0
29.7,52.8,69.0,94.9,114.6,121.9,138.8,147.2,158.3,171.6,183.5,200.7,209.9,223.7,230.4,246.4,248.8,259.5,265.7,270.4,278.5,288.9,294.6,300.0,300.0,300.0,300.0,300.0,300.0,300.0
